BillDate,InvoiceNo,StockCode,Description,Quantity,UnitPrice,Total
2/4/17,CC88  ,684,24LM Orange Juice  ,1.00,149.00,149.00
2/4/17,CC88  ,3650,SO PACHRANGI DAL 500G  ,1.00,155.00,155.00
2/4/17,CC88  ,2129,SS BANANA YALAKKI  ,0.50,125.00,61.88
2/4/17,CC88  ,2598,SS CAPSICUM CLR  ,0.19,170.00,32.30
2/4/17,CC88  ,2114,SS CHILLI GREEN  ,0.09,85.00,7.65
2/4/17,CC88  ,2095,SS CUCUMBER GREEN  ,0.35,48.00,16.80
2/4/17,CC88  ,2121,SS GARLIC  ,0.03,254.00,7.62
2/4/17,CC88  ,2090,SS GINGER  ,0.04,120.00,4.20
2/4/17,CC88  ,2600,SS MUSHROOM OYSTER  ,1.00,60.00,60.00
2/4/17,CC88  ,2122,SS ONION  ,0.81,48.00,38.88
2/4/17,CC88  ,2111,SS TOMATO FRM  ,0.57,46.00,26.22
2/4/17,CC88  ,3124,TG Atta 1kg  ,1.00,59.00,59.00
2/4/17,SP89  ,3755,AF INS SANDAL  ,1.00,25.00,25.00
2/4/17,SP89  ,1125,Arya Foxtail Millet  ,1.00,75.00,75.00
2/4/17,SP89  ,3880,G10 BESAN 1KG  ,1.00,190.00,190.00
2/4/17,SP89  ,3865,G10 MOONG DAL 500G  ,1.00,105.00,105.00
2/4/17,SP89  ,3904,G10 WHITE POHA 1KG  ,1.00,105.00,105.00
2/4/17,SP89  ,3567,OT BROKEN RICE  ,2.00,55.00,110.00
2/4/17,SP89  ,2187,OT BROWN MUSTARD  ,1.00,30.00,30.00
2/4/17,SP89  ,1346,OT Chana Kabuli  ,1.00,150.00,150.00
2/4/17,SP89  ,2504,OT COWPEA WHT 500G  ,1.00,85.00,85.00
2/4/17,SP89  ,3784,OT RICE RAVA IDLI  ,2.00,55.00,110.00
2/4/17,SP89  ,2126,SS CABBAGE  ,0.60,70.00,41.65
2/4/17,SP89  ,2127,SS KNOL KHOL  ,0.14,56.00,7.56
2/4/17,SP89  ,2080,SS METHI  ,1.00,32.00,32.00
2/4/17,SP89  ,2079,SS PALAK  ,1.00,28.00,28.00
2/4/17,SP89  ,2167,SS POMOGRANATE  ,0.34,200.00,67.00
2/4/17,SP89  ,2124,SS POTATO  ,0.41,52.00,21.32
2/4/17,SP89  ,2089,SS RADISH WHITE KG  ,0.20,48.00,9.60
2/4/17,SP89  ,2111,SS TOMATO FRM  ,0.70,46.00,32.20
2/4/17,SP89  ,3465,SS TOMATO GREEN  ,0.29,44.00,12.76
2/4/17,SP89  ,3124,TG Atta 1kg  ,1.00,59.00,59.00
2/4/17,SP89  ,3038,TG Basmati Rice  ,1.00,199.00,199.00
2/4/17,SP89  ,3102,TG SM Rice 1Kg  ,2.00,85.00,170.00
2/4/17,SP89  ,3118,TG Urad White Whl 1Kg  ,2.00,325.00,650.00
2/4/17,SP89  ,3315,TO SUJI 1KG  ,1.00,88.00,88.00
2/4/17,CO90  ,2529,24LM IDLY RICE 1KG  ,1.00,85.00,85.00
2/4/17,CO90  ,2508,OT ROCK SALT 500G  ,1.00,35.00,35.00
2/4/17,CO90  ,3662,SO FENUGREEK 100G  ,1.00,31.00,31.00
2/4/17,CO90  ,2129,SS BANANA YALAKKI  ,0.39,125.00,48.13
2/4/17,CO90  ,2103,SS BEANS  ,0.27,82.00,21.73
2/4/17,CO90  ,2092,SS CARROT  ,0.26,89.00,23.14
2/4/17,CO90  ,2076,SS CORIANDER  ,1.00,35.00,35.00
2/4/17,CO90  ,2124,SS POTATO  ,0.46,52.00,23.92
2/4/17,CO90  ,2104,SS PUMPKIN  ,0.89,49.00,43.61
2/4/17,CO90  ,2132,SS SAPOTA  ,0.23,123.00,27.68
2/4/17,CO90  ,2194,SS VALOR  ,0.26,78.00,20.28
2/4/17,CO90  ,3318,TO SM RICE PD 1KG  ,1.00,97.00,97.00
2/4/17,CO90  ,4000,VF MILK 1L  ,1.00,80.00,80.00
2/4/17,CC91  ,4002,OP CURD  ,1.00,100.00,100.00
2/4/17,CC91  ,3700,SO BROWN SUGAR  ,1.00,140.00,140.00
2/4/17,CC91  ,2103,SS BEANS  ,0.93,82.00,76.26
2/4/17,CC91  ,2118,SS BEANS LONG  ,0.73,109.00,79.57
2/4/17,CC91  ,2126,SS CABBAGE  ,0.88,70.00,61.60
2/4/17,CC91  ,2598,SS CAPSICUM CLR  ,0.54,170.00,90.95
2/4/17,CC91  ,2131,SS PAPAYA  ,0.56,65.00,36.08
2/4/17,CC91  ,3355,TO JAGGERY POWDER  ,1.00,75.00,75.00
2/4/17,CC91  ,4000,VF MILK 1L  ,1.00,80.00,80.00
2/4/17,CC92  ,3764,AF INS MUSK  ,1.00,25.00,25.00
2/4/17,CC92  ,1115,Arya Poha  ,1.00,58.00,58.00
2/4/17,CC92  ,1124,Arya Ragi  ,2.00,87.00,174.00
2/4/17,CC92  ,1217,Arya Ragi Malt  ,1.00,119.00,119.00
2/4/17,CC92  ,2748,Arya Virgin Coconut Oil 250ml  ,1.00,235.00,235.00
2/4/17,CC92  ,3787,OT CINNAMON 50G  ,1.00,45.00,45.00
2/4/17,CC92  ,483,PPS Rava  ,1.00,85.00,85.00
2/4/17,CC92  ,3752,SO PUFFED RICE  ,1.00,38.00,38.00
2/4/17,CC92  ,3062,TG Gr Moong Whl 500g  ,1.00,119.00,119.00
2/4/17,CC92  ,3092,TG Peanuts 500g  ,1.00,105.00,105.00
2/4/17,CC92  ,2997,WL CAR DEODORISER 1  ,1.00,350.00,350.00
2/4/17,CC93  ,3645,SO VAN TULSI HONEY  ,1.00,170.00,170.00
2/4/17,CC93  ,2126,SS CABBAGE  ,0.48,70.00,33.25
2/4/17,CC93  ,3468,SS COLOCASIA  ,0.32,116.00,37.12
2/4/17,CC93  ,2122,SS ONION  ,0.42,48.00,20.16
2/4/17,CC93  ,2124,SS POTATO  ,0.52,52.00,26.78
2/4/17,CC93  ,2194,SS VALOR  ,0.34,78.00,26.13
2/4/17,CC94  ,1211,Arya Almond 50  ,2.00,105.00,210.00
2/4/17,CC94  ,1158,Arya Chilli Byadagi  ,1.00,95.00,95.00
2/4/17,CC94  ,1151,Arya Coconut Oil 150  ,1.00,85.00,85.00
2/4/17,CC94  ,3845,G10 BLK PEPPER 100G  ,1.00,150.00,150.00
2/4/17,CC94  ,3900,G10 JAGGERY LUMPS  ,1.00,70.00,70.00
2/4/17,CC94  ,3850,G10 PEPPER PWDR 50G  ,1.00,95.00,95.00
2/4/17,CC94  ,3132,LF COCONUT MILK SOAP  ,2.00,180.00,360.00
2/4/17,CC94  ,2154,NRS APRICOT BAR 1  ,1.00,70.00,70.00
2/4/17,CC94  ,3925,OT IDLY RICE 1KG  ,1.00,99.00,99.00
2/4/17,CC94  ,2498,OT SM RICE WHT PD 1KG  ,2.00,105.00,210.00
2/4/17,CC94  ,490,PPS Castor Oil  ,1.00,120.00,120.00
2/4/17,CC94  ,479,PPS Green Peas Dried  ,1.00,90.00,90.00
2/4/17,CC94  ,2568,PPS ORG CHAKLI  ,1.00,70.00,70.00
2/4/17,CC94  ,494,PPS Rice PD 5KG  ,1.00,395.00,395.00
2/4/17,CC94  ,3646,SO RAISINS  ,1.00,190.00,190.00
2/4/17,CC94  ,3715,SO ROASTED FLAXSEED  ,1.00,81.00,81.00
2/4/17,CC94  ,3991,SO TAMARIND SL  ,1.00,128.00,128.00
2/4/17,CC94  ,2129,SS BANANA YALAKKI  ,0.60,125.00,75.00
2/4/17,CC94  ,2114,SS CHILLI GREEN  ,0.18,85.00,14.88
2/4/17,CC94  ,2086,SS DRUMSTIC LEAVES  ,1.00,25.00,25.00
2/4/17,CC94  ,2090,SS GINGER  ,0.02,120.00,2.40
2/4/17,CC94  ,2097,SS RIDGE GOURD  ,0.19,63.00,11.97
2/4/17,CC94  ,2111,SS TOMATO FRM  ,0.92,46.00,42.32
2/4/17,CC94  ,3124,TG Atta 1kg  ,1.00,59.00,59.00
2/4/17,CC94  ,3038,TG Basmati Rice  ,1.00,199.00,199.00
2/4/17,CC94  ,3041,TG Cashew Whl  ,2.00,145.00,290.00
2/4/17,CC94  ,3043,TG Channa Dal 500g  ,1.00,85.00,85.00
2/4/17,CC94  ,3048,TG Cumin  ,1.00,56.00,56.00
2/4/17,CC94  ,3062,TG Gr Moong Whl 500g  ,1.00,119.00,119.00
2/4/17,CC94  ,3092,TG Peanuts 500g  ,1.00,105.00,105.00
2/4/17,CC94  ,3104,TG SM Rice HP 1Kg  ,1.00,85.00,85.00
2/4/17,CC94  ,3112,TG Tur Dal 1Kg  ,2.00,199.00,398.00
2/4/17,CC94  ,3114,TG Turmeric Pwdr  ,1.00,39.00,39.00
2/4/17,CC94  ,3117,TG Urad White Split 500g  ,2.00,164.00,328.00
2/4/17,CC94  ,3328,TO ATTA 1KG  ,1.00,59.00,59.00
2/4/17,CC94  ,3320,TO SM RICE PD 5KG  ,1.00,450.00,450.00
2/4/17,CC94  ,3353,TO SUGAR 1KG  ,1.00,120.00,120.00
2/4/17,CA95  ,3805,OP MILK 1LTR  ,2.00,80.00,160.00
2/4/17,CA95  ,470,PPS Ragi Flr  ,1.00,85.00,85.00
2/4/17,CC96  ,3264,ARYA SF OIL 3LTR  ,1.00,888.00,888.00
2/4/17,CC96  ,2568,PPS ORG CHAKLI  ,2.00,70.00,140.00
2/4/17,CC96  ,2129,SS BANANA YALAKKI  ,0.31,125.00,38.13
2/4/17,CC96  ,3464,SS MUSK MELON  ,0.63,48.00,30.24
2/4/17,CC96  ,2167,SS POMOGRANATE  ,0.67,200.00,134.00
2/4/17,CA97  ,3520,ARYA CASHEW WHL 100G  ,1.00,170.00,170.00
2/4/17,CA97  ,1123,Arya Cowpea White  ,1.00,81.00,81.00
2/4/17,CA97  ,3806,OP PANEER 200G  ,1.00,94.00,94.00
2/4/17,CA97  ,1327,OT Poha  ,1.00,58.00,58.00
2/4/17,CA97  ,3622,OW HEAL FAT FIT  ,1.00,299.00,299.00
2/4/17,CA97  ,3618,OW HEAL SKIN TONE  ,1.00,299.00,299.00
2/4/17,CA97  ,2513,PPS BISIBELEBATH PWDR 100G  ,1.00,55.00,55.00
2/4/17,CA97  ,463,PPS Fried Gram  ,1.00,105.00,105.00
2/4/17,CA97  ,2568,PPS ORG CHAKLI  ,1.00,70.00,70.00
2/4/17,CA97  ,483,PPS Rava  ,1.00,85.00,85.00
2/4/17,CA97  ,2516,PPS RICE FLR 1KG  ,1.00,75.00,75.00
2/4/17,CA97  ,455,PPS Sambar Pwdr  ,2.00,55.00,110.00
2/4/17,CA97  ,3752,SO PUFFED RICE  ,2.00,38.00,76.00
2/4/17,CA97  ,2129,SS BANANA YALAKKI  ,0.53,125.00,66.25
2/4/17,CA97  ,3093,TG Chilli Pwdr  ,2.00,49.00,98.00
2/4/17,CA97  ,3048,TG Cumin  ,1.00,56.00,56.00
2/4/17,CA97  ,3112,TG Tur Dal 1Kg  ,2.00,199.00,398.00
2/4/17,CA97  ,3837,TO ROCK SALT 500G  ,1.00,35.00,35.00
2/4/17,CC98  ,1171,Arya Ginger Pwdr  ,1.00,47.00,47.00
2/4/17,CC98  ,1124,Arya Ragi  ,2.00,87.00,174.00
2/4/17,CC98  ,3083,TG Mustard  ,1.00,35.00,35.00
2/4/17,CC98  ,3379,TO BLACK PEPPERS  ,1.00,245.00,196.00
2/4/17,CC99  ,470,PPS Ragi Flr  ,1.00,85.00,85.00
2/4/17,CC99  ,3510,RE WOODEN COMB 6  ,1.00,150.00,150.00
2/4/17,CC99  ,3068,TG Jaggery Pwdr  ,1.00,69.00,69.00
2/4/17,CC99  ,3103,TG SM Rice 5Kg  ,1.00,419.00,419.00
2/4/17,CC99  ,3112,TG Tur Dal 1Kg  ,1.00,199.00,199.00
